66,106,135,269,343,506,757,421,633,363.7
73,117,148,296,377,557,832,464,696,400.0
80,129,163,326,415,612,916,510,766,439.4
88,141,179,358,456,673,1006,560,842,482.4
97,155,196,394,500,739,1104,615,924,529.4
106,170,215,431,548,810,1210,674,1013,580.0
116,186,235,472,600,886,1324,737,1108,634.7
127,203,256,515,655,967,1445,805,1209,693.6
138,221,278,560,713,1053,1573,876,1316,756.1
150,240,302,609,774,1144,1710,952,1430,823.7
162,260,327,660,839,1240,1854,1032,1551,896.4
176,281,354,714,908,1342,2005,1116,1677,973.7
189,303,382,770,980,1448,2164,1205,1811,1056.0
204,327,411,829,1055,1559,2330,1298,1950,1143.6
219,351,441,890,1134,1675,2504,1395,2095,1236.8
235,376,473,955,1216,1797,2686,1496,2247,1335.1
252,403,506,1022,1302,1923,2875,1601,2406,1439.5
269,431,541,1092,1391,2055,3071,1711,2570,1551.2
287,459,576,1165,1483,2192,3275,1825,2741,1668.8
305,489,613,1240,1579,2333,3487,1942,2918,1797.5
325,519,652,1318,1679,2480,3707,2064,3102,1929.2
345,551,692,1399,1781,2632,3934,2191,3292,2067.4
365,584,733,1483,1887,2789,4168,2321,3488,2209.0
386,618,775,1569,1997,2951,4410,2457,3691,2357.8
429,686,860,1741,2216,3275,4895,2726,4096,2612.0
472,755,946,1916,2439,3605,5386,3000,4508,2876.3
515,825,1034,2094,2665,3939,5886,3278,4926,3150.3
560,896,1122,2274,2894,4278,6392,3560,5350,3434.9
605,968,1212,2457,3126,4622,6907,3846,5780,3729.7
651,1041,1304,2642,3363,4971,7429,4137,6217,4036.6
697,1115,1397,2830,3603,5326,7958,4432,6660,4352.2
744,1191,1491,3021,3846,5686,8495,4732,7109,4682.6
792,1267,1586,3214,4092,6050,9040,5035,7565,5021.7
840,1344,1683,3411,4342,6420,9592,5342,8028,5376.9
889,1422,1781,3609,4595,6795,10152,5654,8496,5744.2
939,1502,1880,3811,4852,7174,10719,5970,8971,6124.7
989,1583,1981,4015,5113,7559,11294,6290,9452,6518.7
1040,1664,2083,4222,5376,7949,11877,6615,9939,6931.6
1092,1747,2186,4432,5643,8344,12467,6944,10433,7355.8
1144,1830,2291,4645,5913,8744,13065,7276,10933,7799.7
1197,1915,2397,4860,6187,9148,13669,7613,11439,8255.0
1251,2001,2504,5078,6465,9559,14282,7955,11952,8727.7
1305,2088,2613,5299,6746,9974,14902,8300,12472,9222.5
1360,2176,2723,5522,7030,10394,15530,8650,12997,9721.8
1416,2265,2834,5748,7317,10819,16166,9003,13529,10243.6
1472,2355,2947,5976,7608,11250,16809,9362,14067,10786.5
1529,2447,3061,6208,7902,11685,17460,9724,14611,11346.9
1587,2539,3176,6441,8200,12126,18117,10091,15162,11933.0
1645,2632,3293,6678,8502,12571,18783,10462,15719,12545.2
1762,2819,3526,7151,9105,13462,20115,11203,16833,13182.7
1879,3006,3760,7627,9711,14358,21454,11949,17954,13860.7
1997,3195,3996,8106,10320,15259,22800,12699,19081,14570.5
2115,3385,4233,8588,10933,16166,24154,13453,20214,15309.7
2235,3576,4472,9072,11549,17077,25516,14211,21353,16096.6
2355,3768,4712,9559,12169,17993,26885,14974,22499,16909.6
2475,3960,4953,10049,12792,18914,28262,15740,23651,17765.2
2596,4155,5195,10541,13419,19841,29646,16511,24810,18654.8
2718,4349,5439,11036,14049,20772,31037,17287,25975,19586.8
2841,4545,5684,11533,14682,21709,32437,18066,27146,20555.8
2964,4743,5931,12034,15319,22650,33844,18850,28323,21561.7
3088,4941,6178,12536,15960,23597,35258,19638,29507,22608.5
3212,5140,6428,13042,16604,24548,36680,20430,30697,23711.0
3338,5340,6678,13550,17251,25505,38110,21226,31893,24898.6
3464,5542,6930,14061,17901,26467,39547,22026,33096,26137.3
3590,5745,7183,14574,18555,27433,40992,22831,34305,27419.7
3717,5948,7437,15090,19213,28405,42444,23640,35521,28739.3
3845,6153,7693,15610,19874,29383,43904,24453,36742,30130.2
3974,6358,7950,16132,20538,30365,45371,25270,37971,31562.6
4103,6565,8208,16657,21206,31352,46846,26092,39205,33051.5
4233,6773,8468,17184,21877,32345,48329,26918,40446,34583.7
4363,6981,8729,17714,22552,33342,49819,27748,41692,36171.6
4494,7191,8991,18247,23229,34344,51316,28582,42946,37813.5
4626,7402,9255,18782,23910,35351,52821,29420,44205,39554.9
4759,7614,9520,19320,24595,36363,54334,30263,45471,41362.4
5024,8038,10050,20396,25965,38389,57359,31948,48003,43236.0
5289,8463,10581,21474,27337,40418,60392,33638,50542,45203.0
5556,8889,11114,22555,28714,42454,63433,35331,53087,47277.1
5823,9317,11648,23639,30094,44494,66482,37029,55638,49429.0
6090,9745,12183,24726,31477,46539,69538,38731,58196,51671.9
6359,10174,12720,25815,32864,48590,72602,40438,60760,53997.2
6628,10605,13258,26907,34254,50645,75673,42148,63330,56423.8
6897,11036,13797,28001,35647,52705,78752,43863,65906,58983.7
7168,11469,14338,29098,37044,54771,81839,45582,68489,61651.3
7439,11902,14880,30198,38445,56841,84932,47305,71078,64389.6
7710,12336,15423,31301,39849,58917,88034,49033,73674,67212.0
7982,12772,15968,32407,41256,60998,91143,50765,76276,70160.5
