2,14,13,34,13,86,67,8,24
2.2,15.4,14.3,37.4,14.3,94.6,73.7,8.8,26.4
2.4,16.9,15.7,41.1,15.7,104.1,81.1,9.7,29
2.7,18.6,17.3,45.2,17.3,114.4,89.1,10.6,31.9
2.9,20.4,19,49.6,19,125.6,97.8,11.7,35
3.2,22.4,20.8,54.4,20.8,137.6,107.2,12.8,38.4
3.5,24.5,22.8,59.5,22.8,150.5,117.3,14,42
3.8,26.7,24.8,64.9,24.8,164.3,128,15.3,45.8
4.2,29.1,27,70.7,27,178.9,139.4,16.6,49.9
4.5,31.6,29.4,76.8,29.4,194.4,151.4,18.1,54.2
4.9,34.3,31.9,83.3,31.9,210.7,164.2,19.6,58.8
5.3,37.1,34.5,90.1,34.5,227.9,177.6,21.2,63.6
5.7,40,37.2,97.2,37.2,246,191.6,22.9,68.6
6.2,43.1,40,104.7,40,264.9,206.4,24.6,73.9
6.6,46.3,43,112.5,43,284.7,221.8,26.5,79.4
7.1,49.7,46.2,120.7,46.2,305.3,237.9,28.4,85.2
7.6,53.2,49.4,129.2,49.4,326.8,254.6,30.4,91.2
8.1,56.8,52.8,138,52.8,349.2,272,32.5,97.4
8.7,60.6,56.3,147.2,56.3,372.4,290.1,34.6,103.9
9.2,64.5,59.9,156.7,59.9,396.5,308.9,36.9,110.6
9.8,68.6,63.7,166.6,63.7,421.4,328.3,39.2,117.6
10.4,72.8,67.6,176.8,67.6,447.2,348.4,41.6,124.8
11,77.1,71.6,187.3,71.6,473.9,369.2,44.1,132.2
11.7,81.6,75.8,198.2,75.8,501.4,390.6,46.6,139.9
12.9,90.6,84.1,220,84.1,556.4,433.5,51.8,155.3
14.2,99.7,92.6,242.1,92.6,612.3,477,57,170.9
15.6,108.9,101.1,264.5,101.1,669.1,521.3,62.2,186.7
16.9,118.3,109.9,287.3,109.9,726.7,566.2,67.6,202.8
18.3,127.8,118.7,310.4,118.7,785.2,611.7,73,219.1
19.6,137.5,127.7,333.9,127.7,844.5,657.9,78.6,235.7
21,147.3,136.8,357.7,136.8,904.7,704.8,84.2,252.5
22.5,157.2,146,381.8,146,965.8,752.4,89.8,269.5
23.9,167.3,155.4,406.3,155.4,1027.7,800.7,95.6,286.8
25.4,177.5,164.8,431.1,164.8,1090.5,849.6,101.4,304.3
26.8,187.9,174.5,456.3,174.5,1154.1,899.1,107.4,322.1
28.3,198.4,184.2,481.8,184.2,1218.6,949.4,113.4,340.1
29.9,209,194.1,507.6,194.1,1284,1000.3,119.4,358.3
31.4,219.8,204.1,533.8,204.1,1350.2,1051.9,125.6,376.8
33,230.7,214.2,560.3,214.2,1417.3,1104.2,131.8,395.5
34.5,241.8,224.5,587.2,224.5,1485.2,1157.1,138.2,414.5
36.1,253,234.9,614.4,234.9,1554,1210.7,144.6,433.7
37.8,264.3,245.4,641.9,245.4,1623.7,1265,151,453.1
39.4,275.8,256.1,669.8,256.1,1694.2,1319.9,157.6,472.8
41.1,287.4,266.9,698,266.9,1765.6,1375.5,164.2,492.7
42.7,299.2,277.8,726.6,277.8,1837.8,1431.8,171,512.9
44.4,311.1,288.9,755.5,288.9,1910.9,1488.7,177.8,533.3
46.2,323.1,300,784.7,300,1984.9,1546.4,184.6,553.9
47.9,335.3,311.4,814.3,311.4,2059.7,1604.7,191.6,574.8
49.7,347.6,322.8,844.2,322.8,2135.4,1663.6,198.6,595.9
53.2,372.3,345.7,904.1,345.7,2286.7,1781.5,212.7,638.2
56.7,397,368.7,964.2,368.7,2439,1900.1,226.9,680.6
60.3,422,391.8,1024.8,391.8,2592,2019.4,241.1,723.4
63.9,447,415.1,1085.6,415.1,2746,2139.3,255.4,766.3
67.5,472.2,438.5,1146.8,438.5,2900.8,2259.9,269.8,809.5
71.1,497.6,462,1208.4,462,3056.4,2381.2,284.3,853
74.7,523,485.7,1270.2,485.7,3213,2503.1,298.9,896.6
78.4,548.7,509.5,1332.5,509.5,3370.3,2625.7,313.5,940.6
82.1,574.4,533.4,1395,533.4,3528.6,2749,328.2,984.7
85.8,600.3,557.4,1457.9,557.4,3687.7,2873,343,1029.1
89.5,626.4,581.6,1521.2,581.6,3847.6,2997.6,357.9,1073.8
93.2,652.5,605.9,1584.7,605.9,4008.5,3122.9,372.9,1118.6
97,678.9,630.4,1648.7,630.4,4170.1,3248.8,387.9,1163.8
100.8,705.3,654.9,1712.9,654.9,4332.7,3375.5,403,1209.1
104.6,731.9,679.6,1777.5,679.6,4496.1,3502.8,418.2,1254.7
108.4,758.7,704.5,1842.5,704.5,4660.3,3630.7,433.5,1300.6
112.2,785.5,729.4,1907.7,729.4,4825.5,3759.4,448.9,1346.6
116.1,812.6,754.5,1973.4,754.5,4991.4,3888.7,464.3,1393
120,839.7,779.7,2039.3,779.7,5158.3,4018.7,479.8,1439.5
123.9,867,805.1,2105.6,805.1,5326,4149.3,495.4,1486.3
127.8,894.5,830.6,2172.3,830.6,5494.5,4280.6,511.1,1533.4
131.7,922,856.2,2239.2,856.2,5664,4412.6,526.9,1580.6
135.7,949.8,881.9,2306.6,881.9,5834.2,4545.3,542.7,1628.2
139.7,977.6,907.8,2374.2,907.8,6005.4,4678.6,558.6,1675.9
143.7,1005.6,933.8,2442.2,933.8,6177.4,4812.6,574.6,1723.9
151.7,1061.6,985.8,2578.2,985.8,6521.4,5080.6,606.6,1819.9
159.7,1117.8,1037.9,2714.6,1037.9,6866.2,5349.3,638.7,1916.2
167.7,1174,1090.2,2851.2,1090.2,7212,5618.6,670.9,2012.6
175.8,1230.5,1142.6,2988.3,1142.6,7558.5,5888.6,703.1,2109.4
183.9,1287,1195.1,3125.6,1195.1,7906,6159.3,735.4,2206.3
192,1343.7,1247.7,3263.3,1247.7,8254.3,6430.7,767.8,2303.5
200.1,1400.6,1300.5,3401.4,1300.5,8603.4,6702.7,800.3,2401
208.2,1457.5,1353.4,3539.7,1353.4,8953.5,6975.4,832.9,2498.6
216.4,1514.7,1406.5,3678.5,1406.5,9304.3,7248.7,865.5,2596.6
224.6,1571.9,1459.6,3817.5,1459.6,9656.1,7522.8,898.2,2694.7
232.8,1629.3,1512.9,3956.9,1512.9,10008.7,7797.5,931,2793.1
