6,1.92,3.01,11,3,1
13,2.33,3.65,13,3,1
19,2.75,4.3,14,3,1
25,3.16,4.95,15,3,1
44,4.9,7.67,17,4,1
63,6.64,10.39,18,4,1
81,8.38,13.12,20,4,1
100,10.12,15.84,21,4,2
119,12.19,19.08,23,4,2
138,14.27,22.34,24,4,2
156,16.34,25.58,26,4,2
175,18.41,28.82,27,4,2
194,24.24,37.94,29,4,2
213,30.06,47.05,31,4,2
231,35.89,56.18,32,4,2
250,41.71,65.29,34,4,2
269,46.69,73.09,36,5,2
288,51.67,80.88,38,5,2
306,56.64,88.66,39,5,2
325,61.62,96.46,41,5,3
344,79.29,124.12,43,5,3
363,96.96,151.78,45,5,3
381,114.62,179.42,47,5,3
400,132.29,207.08,49,5,3
419,157.66,246.79,51,5,3
438,183.02,286.49,54,5,3
456,208.39,326.2,56,5,3
475,233.75,365.9,58,5,3
494,341.85,535.12,61,6,3
513,449.94,704.32,63,6,3
531,558.04,873.53,66,6,3
550,666.13,1042.73,68,6,4
569,1138.43,1782.05,71,6,4
588,1610.73,2521.37,74,6,4
606,2083.03,3260.68,76,6,4
625,2555.33,4000,79,6,4
644,4159.45,6511.02,82,6,4
663,5763.56,9022.02,85,6,4
681,7367.68,11533.04,88,6,4
700,8971.79,14044.04,91,6,4
719,11157.11,17464.84,94,7,4
738,13342.42,20885.63,98,7,4
756,15527.74,24306.43,101,7,4
775,17713.05,27727.22,104,7,5
