6,7.99,5,3,2,0,0,0,0,0,0
13,8.98,8,5,3,0,0,0,0,0,0
19,9.97,10,6,4,0,0,0,0,0,0
25,10.96,10,6,4,1,0,0,0,0,0
44,16.12,10,6,4,3,0,0,0,0,0
63,21.27,13,8,6,4,0,0,0,0,0
81,26.43,16,10,7,5,0,0,0,0,0
100,31.58,18,11,8,6,3,0,0,0,0
119,58.98,34,21,15,11,8,0,0,0,0
138,86.39,45,28,20,14,10,7,0,0,0
156,113.79,54,34,24,17,12,8,0,0,0
175,141.19,56,35,25,18,13,9,0,0,0
194,178.48,69,43,31,22,16,11,7,0,0
213,215.77,78,49,35,25,18,13,8,0,0
231,253.05,78,49,35,25,18,13,12,2,0
250,290.34,88,55,39,28,20,14,12,7,0
269,351.45,88,55,39,28,20,14,12,8,1
288,412.56,96,60,43,31,22,16,13,9,1
306,473.66,107,67,48,34,24,17,14,10,3
325,534.77,107,67,48,34,24,17,14,10,7
344,702.71,110,69,49,35,25,18,15,11,8
363,870.64,123,77,55,39,28,20,17,11,8
381,1038.58,128,80,57,41,29,21,17,11,8
400,1206.51,134,84,60,43,31,22,18,12,8
419,1456.51,134,84,60,43,31,22,18,13,11
438,1706.51,150,94,67,48,34,24,20,14,12
456,1956.5,150,97,69,49,35,25,21,15,12
475,2206.5,150,112,80,57,41,29,24,17,12
494,3188.43,150,123,88,63,45,32,27,19,16
513,4170.36,150,132,94,67,48,34,28,20,17
531,5152.29,150,143,102,73,52,37,31,22,18
550,6134.22,150,150,112,80,57,41,34,24,20
569,10989,150,150,129,92,66,47,39,28,23
588,15843.79,150,150,143,102,73,52,43,31,26
606,20698.57,150,150,150,116,83,59,49,35,29
625,25553.35,150,150,150,132,94,67,56,40,33
644,40876.29,150,150,150,146,104,74,62,44,37
663,56199.23,150,150,150,150,125,89,74,53,44
681,71522.17,150,150,150,150,146,104,87,62,52
700,86845.11,150,150,150,150,150,122,102,73,61
719,109416.46,150,150,150,150,150,148,123,88,73
738,131987.81,150,150,150,150,150,150,148,106,88
756,154559.16,150,150,150,150,150,150,150,126,105
775,177130.51,150,150,150,150,150,150,150,144,120
