0,1,2,3,9,8,10,11,12,13,14,15,5,17,6,16,4,18,7,19,20,21,22,23,24,25,26,27,28,29
10,14,19.2,38.1,77.5,230.8,311.9,421.5,846.8,1695.5,5086,6865.5,10298.1,13902.1,27804.5,83412.5,112607,152019.6,228022.1,456043,1368129.6,1846973,2493413.4,3740119.2,7480238.9,22440716.4,30294967.2,40898205.3,55212577.4,110425153.6
11,15.4,21.1,41.9,85.3,253.9,343.1,463.7,931.5,1865.1,5594.6,7552.1,11327.9,15292.3,30585,91753.8,123867.7,167221.6,250824.3,501647.3,1504942.6,2031670.3,2742754.7,4114131.1,8228262.8,24684788,33324463.9,44988025.8,60733835.1,121467669
12.1,16.9,23.2,46.1,93.8,279.3,377.4,510.1,1024.7,2051.6,6154.1,8307.3,12460.7,16821.5,33643.5,100929.2,136254.5,183943.8,275906.7,551812,1655436.9,2234837.3,3017030.2,4525544.2,9051089.1,27153266.8,36656910.3,49486828.4,66807218.6,133614435.9
13.3,18.6,25.5,50.7,103.1,307,414.8,560.7,1126.3,2255.1,6764.4,9131.1,13696.4,18489.7,36979.9,110938.3,149766.9,202185.5,303268.4,606535.2,1819606.6,2456466.1,3316229.1,4974342.4,9948685.6,29846056.3,40292176.1,54394437.2,73432490.5,146864979.5
14.6,20.4,28,55.7,113.2,337,455.3,615.5,1236.4,2475.5,7425.6,10023.6,15035.1,20296.9,40594.3,121781.4,164405.1,221947.1,332909.9,665818,1997454.9,2696561.1,3640357.3,5460534.6,10921070.1,32763209.8,44230333.4,59710949.5,80609782.1,161219562.6
16,22.4,30.7,61,124.1,369.3,499,674.5,1355,2712.9,8137.6,10984.8,16476.8,22243.2,44486.9,133459,180169.9,243229.6,364832.6,729663.3,2188990.9,2955134.3,3989431.2,5984145.3,11968291.5,35904874,48471580.1,65436632.4,88339454.1,176678906.5
17.5,24.5,33.6,66.7,135.7,403.9,545.8,737.7,1482,2967.2,8900.5,12014.6,18021.5,24328.5,48657.5,145970.8,197060.8,266032.4,399035.7,798069.2,2394208.8,3232178.1,4363440.4,6545158.9,13090318.8,39270955.9,53015790.7,71571316.7,96621277.9,193242554
19.1,26.7,36.7,72.8,148.1,440.8,595.7,805.1,1617.5,3238.5,9714.3,13113.1,19669.2,26552.9,53106.3,159316.9,215078.1,290355.7,435519.5,871036.7,2613111.3,3527696.1,4762389.8,7143582.8,14287166.6,42861499.4,57863024.4,78115082.2,105455361.3,210910720.7
20.8,29.1,40,79.3,161.3,480,648.7,876.8,1761.5,3526.8,10579,14280.3,21420,28916.4,57833.3,173497.7,234222.2,316200.3,474285.1,948567.7,2845704.3,3841696.3,5186290.1,7779433.1,15558867.3,46676601.5,63013412.2,85068105.7,114841943,229683883.9
