0,1,2,3,9,8,10,11,12,13,14,15,5,17,6,16,4,18,7,19,20,21,22,23,24,25,26,27,28,29
66,93,127,252,513,1529,2066,2792,5610,11233,33695,45484,68225,92101,184205,552608,746021,1007130,1510646,3021285,9063859,12236196,16518864,24778290,49556583,148669746,200704158,270950610,365783325,731566643
73,102,140,278,565,1682,2273,3072,6171,12356,37064,50033,75047,101311,202626,607869,820624,1107843,1661711,3323413,9970245,13459816,18170750,27256119,54512241,163536721,220774573,298045671,402361658,804723307
80,112,154,305,621,1850,2500,3379,6789,13592,40771,55036,82552,111442,222888,668656,902686,1218628,1827882,3655755,10967269,14805797,19987825,29981730,59963465,179890393,242852031,327850238,442597823,885195638
88,123,169,336,683,2034,2748,3715,7462,14940,44814,60494,90739,122494,244992,734966,992206,1339479,2009153,4018296,12054894,16274088,21970018,32955018,65910042,197730123,266935667,360363146,486490250,972980489
97,135,186,369,750,2233,3016,4078,8191,16400,49195,66406,99608,134467,268937,806802,1089184,1470400,2205528,4411044,13233139,17864717,24117367,36176042,72352089,217056265,293025959,395585040,534039806,1068079602
106,148,203,404,822,2447,3306,4469,8977,17973,53912,72774,109159,147361,294726,884166,1193626,1611396,2417016,4834019,14502065,19577765,26429982,39644963,79289931,237869790,321124218,433517690,585248883,1170497756
116,162,223,442,899,2676,3616,4887,9818,19658,58966,79597,119392,161176,322356,967057,1305528,1762465,2643612,5287208,15861633,21413180,28907793,43361678,86723362,260170083,351229613,474159973,640115966,1280231920
127,177,243,482,981,2920,3947,5334,10716,21455,64357,86874,130308,175913,351829,1055474,1424892,1923607,2885317,5770618,17311862,23370987,31550832,47326236,94652479,283957434,383342537,517512420,698641769,1397283525
138,193,265,525,1069,3180,4298,5809,11670,23365,70086,94607,141908,191571,383146,1149422,1551722,2094827,3142139,6284261,18852791,25451238,34359172,51538744,103077496,309232485,417463856,563576200,760827872,1521655731
150,209,288,571,1161,3455,4669,6312,12680,25387,76151,102794,154188,208150,416303,1248893,1686008,2276113,3414059,6828101,20484312,27653788,37332614,55998907,111997823,335993464,453591178,612348085,826669916,1653339818
162,227,313,619,1259,3745,5062,6842,13746,27522,82553,111436,167151,225649,451302,1353888,1827751,2467467,3701079,7402139,22206428,29978642,40471167,60706735,121413479,364240435,491724589,663828189,896168056,1792336096
176,246,339,669,1361,4051,5476,7401,14868,29768,89292,120533,180795,244068,488141,1464405,1976950,2668886,4003199,8006375,24019139,32425799,43774829,65662226,131324461,393973382,531864067,718016484,969322255,1938644491
189,265,365,722,1469,4372,5910,7987,16046,32127,96368,130085,195123,263411,526827,1580459,2133623,2880395,4320452,8640881,25922656,34995544,47243984,70865957,141731925,425195773,574014295,774919290,1046141044,2092282067
204,286,393,778,1583,4708,6364,8601,17281,34598,103781,140091,210132,283672,567350,1702028,2297741,3101955,4652781,9305537,27916626,37687401,50877991,76316967,152633945,457901832,618167474,834526082,1126610213,2253220404
219,307,422,836,1701,5060,6839,9244,18571,37182,111531,150553,225824,304857,609720,1829135,2469337,3333609,5000251,10000475,30001440,40501896,54677560,82016318,164032647,492097940,664332221,896848489,1210745464,2421490903
235,329,452,897,1824,5427,7335,9914,19918,39879,119618,161470,242199,326962,653931,1961766,2648389,3575328,5362820,10725609,32176845,43438688,58642230,87963322,175926655,527779962,712502951,961878973,1298536618,2597073209
252,352,484,960,1952,5809,7852,10613,21321,42687,128042,172840,259254,349986,699980,2099914,2834889,3827103,5740469,11480907,34442738,46497641,62771815,94157699,188315410,564946227,762677409,1029614491,1389979566,2779959104
269,376,517,1026,2086,6207,8389,11339,22779,45608,136803,184666,276993,373932,747873,2243590,3028851,4088953,6133232,12266431,36799310,49679009,67066663,100599968,201199951,603599848,814859797,1100060714,1485081968,2970163907
287,401,552,1094,2225,6620,8947,12093,24295,48641,145900,196946,295413,398799,797607,2392789,3230270,4360868,6541092,13082148,39246464,52982664,71526596,107289866,214579748,643739238,869047973,1173214752,1583839919,3167679806
305,427,588,1165,2368,7048,9525,12874,25866,51786,155336,209683,314517,424589,849188,2547530,3439171,4642886,6964105,13928171,41784533,56409053,76152221,114228302,228456620,685369854,925249306,1249086550,1686266846,3372533659
325,454,625,1238,2518,7491,10125,13685,27493,55044,165108,222874,334303,451300,902611,2707796,3655530,4934970,7402217,14804392,44413198,59957747,80942957,121414404,242828826,728486471,983456739,1327666584,1792349893,3584699752
345,482,663,1314,2672,7949,10745,14523,29177,58415,175215,236518,354769,478928,957868,2873567,3879322,5237088,7855380,15710717,47132174,63628360,85898285,128847394,257694807,773084413,1043663961,1408946333,1902077553,3804155070
365,511,703,1392,2831,8423,11386,15389,30916,61897,185662,250619,375921,507482,1014977,3044889,4110607,5549323,8323718,16647390,49942194,67421882,91019540,136529275,273058571,819175706,1105887207,1492947713,2015479417,4030958796
386,541,744,1473,2995,8912,12047,16282,32712,65492,196445,265175,397754,536956,1073926,3221736,4349351,5871628,8807160,17614270,52842837,71337745,96305955,144458895,288917813,866753431,1170117135,1579658116,2132538462,4265076882
429,600,825,1634,3324,9890,13369,18070,36302,72682,218011,294286,441420,595904,1191822,3575418,4826823,6516216,9774010,19547965,58643924,79169202,106878423,160317593,320635210,961905623,1298572595,1753072984,2366648534,4733297022
472,661,908,1799,3658,10884,14712,19885,39949,79983,239912,323850,485765,655768,1311553,3934605,5311725,7170834,10755907,21511753,64535292,87122541,117615429,176423099,352846223,1058538662,1429027198,1929186696,2604402046,5208804041
515,721,992,1966,3997,11893,16076,21728,43653,87398,262153,353871,530795,716557,1433133,4299343,5804122,7835571,11752979,23505893,70517714,95198800,128518379,192777520,385555068,1156665196,1561498019,2108022302,2845830115,5691660176
560,784,1078,2135,4341,12917,17461,23599,47412,94924,284729,384347,576507,778267,1556555,4669602,6303973,8510370,12765146,25530221,76590699,103397321,139586382,209379520,418759070,1256277203,1695974229,2289565183,3090913005,6181825951
605,847,1165,2307,4691,13957,18866,25498,51228,102563,307641,415275,622898,840895,1681811,5045365,6811254,9195200,13792358,27584638,82753953,111717704,150818897,226228291,452456613,1357369830,1832449275,2473806493,3339638775,6679277485
651,911,1253,2481,5045,15012,20292,27425,55099,110315,330893,446661,669977,904450,1808922,5426693,7326048,9890173,14834784,29669485,89008497,120161328,162217790,243326625,486653284,1459959841,1970945791,2660776788,3592048673,7184097277
697,976,1342,2658,5405,16082,21738,29380,59027,118178,354479,478499,717733,968919,1937862,5813508,7848249,10595145,15892208,31784326,95353022,128726427,173780674,260670946,521341929,1564025779,2111434807,2850436958,3848089902,7696179731
744,1041,1433,2837,5770,17167,23205,31363,63010,126154,378403,510793,766173,1034311,2068648,6205861,8377927,11310211,16964773,33929450,101788397,137414174,185509131,278263628,556527296,1669581878,2253935542,3042812948,4107797490,8215594900
792,1108,1525,3020,6139,18267,24693,33373,67050,134242,402662,543540,815292,1100621,2201270,6603719,8915035,12035308,18052384,36104667,108314052,146223797,197402122,296103110,592206261,1776618772,2398435350,3237887686,4371148387,8742296689
840,1176,1618,3204,6514,19383,26201,35412,71147,142443,427261,576745,865098,1167858,2335745,7007141,9459655,12770545,19155204,38310301,114930957,155156608,209461417,314192049,628384141,1885152413,2544955765,3435690245,4638181842,9276363594
889,1245,1713,3391,6895,20514,27730,37478,75298,150756,452196,610404,915585,1236014,2472059,7416077,10011720,13515835,20273102,40546090,121638328,164211548,221685586,332528296,665056640,1995169908,2693479383,3636197127,4908866134,9817732173
939,1314,1809,3580,7280,21660,29280,39573,79507,159182,477469,644520,966757,1305095,2610223,7830562,10571275,14271234,21406166,42812211,128436694,173389331,234075593,351113303,702226655,2106679954,2844017946,3839424185,5183222662,10366445225
989,1385,1906,3772,7670,22822,30850,41695,83770,167719,503076,679085,1018604,1375087,2750209,8250515,11138212,15036601,22554178,45108230,135324754,182688201,246629067,369943509,739887071,2219661200,2996542629,4045332504,5461198893,10922397682
1040,1456,2004,3967,8066,23998,32441,43846,88091,176367,529020,714105,1071134,1446000,2892037,8675994,11712610,15812039,23717297,47434461,142303452,192109431,259347728,389021496,778043047,2334129128,3151074332,4253950301,5742832920,11485665731
1092,1528,2103,4164,8467,25191,34053,46024,92467,185130,555301,749582,1124348,1517838,3035713,9107017,12294492,16597581,24895573,49791006,149373087,201653428,272232124,408348084,816696225,2450088663,3307619704,4465286552,6028136860,12056273604
1144,1602,2204,4363,8873,26399,35685,48230,96900,194005,581922,785517,1178249,1590603,3181246,9543607,12883890,17393269,26089066,52177987,156534033,211320694,285282932,427924291,855848642,2567545913,3466186993,4679352389,6317125741,12634251360
1197,1676,2306,4565,9284,27622,37338,50464,101388,202991,608877,821902,1232826,1664280,3328601,9985667,13480672,18198925,27297512,54594871,163784690,221109068,298497237,447745744,895491551,2686474640,3626740775,4896099992,6609735005,13219469883
