3,3,0,0,10,1
3,3,0,0,3,1
3,3,0,0,20,1
3,3,0,0,40,1
9,3,0,9,3,1
140,3,0,33,20,1
659,5,0,44,40,1
11481,5,0,63,80,1
83338,5,0,76,160,1
958988,5,0,92,320,1
4416214,5,0,102,640,1
39,4,1,14,10,2
1387,4,1,38,20,2
6911,4,1,49,40,2
122961,5,1,68,80,2
893935,5,1,81,160,2
10289583,5,1,97,320,2
47385574,5,1,107,640,2
459,4,2,24,5,2
11905,6,2,48,10,2
62501,4,2,59,20,2
1130915,5,2,78,40,2
32538728,5,2,100,80,2
19864613386,5,2,142,160,2
91482780079,5,2,152,320,2
265,4,3,19,10,3
5690,5,3,43,20,3
29308,5,3,54,40,3
527243,5,3,73,80,3
15162843,5,3,95,160,3
9256579034,5,3,137,320,3
42629450306,5,3,147,640,3
1667,5,4,29,10,3
50406,5,4,53,20,3
777182,5,4,71,40,3
16463473,5,4,91,80,3
139654657,5,4,105,160,3
85258900612,5,4,147,320,3
392644007613,5,4,157,640,3
459,4,2,50,5,2
11905,6,2,50,10,2
62501,4,2,80,20,2
1130915,5,2,95,40,2
32538728,5,2,110,80,2
19864613386,5,2,150,160,2
91482780079,5,2,200,320,2
265,4,3,50,10,3
5690,5,3,50,20,3
29308,5,3,80,40,3
527243,5,3,95,80,3
15162843,5,3,110,160,3
9256579034,5,3,150,320,3
42629450306,5,3,200,640,3
1667,5,4,50,10,3
50406,5,4,50,20,3
777182,5,4,80,40,3
16463473,5,4,95,80,3
139654657,5,4,110,160,3
85258900612,5,4,150,320,3
392644007613,5,4,200,640,3
